env,episode,return,epsilon
14,7,90.11339797973639,0.01
11,7,59.85018064498906,0.01
15,7,105.87654495239263,0.01
5,7,30.429492187499992,0.01
0,6,53.34636688232425,0.01
6,7,133.18605957031238,0.01
4,8,62.16519989013687,0.01
8,8,18.06546897888182,0.01
9,8,20.760528030395516,0.01
1,8,2.189500427246104,0.01
11,8,73.51737022399905,0.01
10,7,164.40347747802718,0.01
12,7,152.37190856933583,0.01
13,7,63.38032245636,0.01
10,8,29.115774383544938,0.01
18,10,101.98198429107676,0.01
6,8,59.63459255218507,0.01
17,8,136.66628952026366,0.01
19,8,116.76248691558848,0.01
3,8,32.88183860778809,0.01
16,9,72.3242527008058,0.01
7,8,150.97463035583505,0.01
13,8,98.50407150268565,0.01
17,9,61.32927516937257,0.01
2,9,109.24017333984376,0.01
6,9,56.07500364303587,0.01
14,8,55.798254394531355,0.01
15,8,119.27722568511957,0.01
5,8,47.931777954101634,0.01
0,7,29.300512695312534,0.01
4,9,62.229707584381174,0.01
17,10,42.82607250213624,0.01
13,9,58.128729648590095,0.01
1,9,35.53378988265989,0.01
8,9,126.0579853057862,0.01
9,9,34.37025489807136,0.01
19,9,62.423281936645566,0.01
16,10,33.704276237487775,0.01
11,9,100.90897598266606,0.01
12,8,93.68895225524892,0.01
10,9,42.66539611816406,0.01
18,11,50.01186828613295,0.01
3,9,68.05832302093513,0.01
2,10,33.59152946472165,0.01
7,9,75.6533489227296,0.01
11,10,15.689334487915035,0.01
17,11,62.27977481842041,0.01
0,8,115.49459793090836,0.01
16,11,61.96712310791014,0.01
12,9,57.82862548828131,0.01
6,10,48.87164688110363,0.01
14,9,38.05993423461923,0.01
1,10,45.546748466491735,0.01
15,9,124.5575080871584,0.01
18,12,93.55514587402352,0.01
5,9,129.76799087524418,0.01
8,10,44.25239440917975,0.01
1,11,24.96669738769533,0.01
9,10,54.190158176422216,0.01
3,10,100.62438194274915,0.01
4,10,78.28934326171888,0.01
11,11,99.78641654968258,0.01
2,11,126.72361724853525,0.01
13,10,31.71163101196294,0.01
6,11,31.288558464050293,0.01
19,10,57.875741195678735,0.01
12,10,50.31837406158447,0.01
2,12,16.997597084045424,0.01
18,13,46.01772293090822,0.01
5,10,37.16665569305415,0.01
10,10,77.3374097442629,0.01
9,11,17.26395221710203,0.01
7,10,144.42194126129164,0.01
5,11,21.01753616333006,0.01
18,14,71.02521404266359,0.01
0,9,126.26172412872329,0.01
17,12,112.95175170898443,0.01
16,12,96.03865890502938,0.01
14,10,88.92610473632811,0.01
12,11,75.09540575027472,0.01
8,11,64.45402225494394,0.01
15,10,47.345104980468875,0.01
10,11,78.37905347824096,0.01
1,12,80.20945663452157,0.01
19,11,51.55156333923352,0.01
2,13,18.526975440978998,0.01
3,11,61.61666145324714,0.01
9,12,55.54539089202887,0.01
4,11,54.28616981506366,0.01
11,12,73.49292030334463,0.01
7,11,47.75537689208995,0.01
5,12,42.5205271530152,0.01
13,11,73.46131057739247,0.01
6,12,110.85979309082038,0.01
17,13,119.03584476470957,0.01
9,13,60.469548664093004,0.01
4,12,71.52415229797366,0.01
10,12,66.14052604675292,0.01
18,15,28.07362979888912,0.01
14,11,142.02155933380132,0.01
12,12,50.61597785949712,0.01
15,11,73.13097513198842,0.01
1,13,100.36651580810548,0.01
0,10,52.4462851715088,0.01
8,12,116.7590029525758,0.01
13,12,30.17720470428467,0.01
7,12,21.405584125518804,0.01
3,12,157.4828484725953,0.01
12,13,57.503373165130654,0.01
4,13,49.99468488693241,0.01
1,14,37.924018001556384,0.01
16,13,2.1611755371093904,0.01
8,13,58.944639225006135,0.01
2,14,159.92968818664554,0.01
9,14,67.23237112045292,0.01
19,12,84.39463577270517,0.01
7,13,103.96956707000737,0.01
15,12,52.72159221649172,0.01
11,13,33.75663032531741,0.01
4,14,80.82458595275885,0.01
8,14,38.4408104324341,0.01
5,13,104.9116905212403,0.01
15,13,18.588351097106933,0.01
6,13,78.23125724792477,0.01
12,14,157.73875030517578,0.01
18,16,75.08645660400404,0.01
17,14,19.094966888427685,0.01
10,13,2.397249469757088,0.01
0,11,90.47228385925298,0.01
3,13,145.44794713973988,0.01
14,12,45.45652160644544,0.01
13,13,114.96024475097668,0.01
6,14,98.19656053543092,0.01
15,14,50.990631523132365,0.01
4,15,89.9907204437256,0.01
1,15,30.440756225585993,0.01
14,13,26.13305683135987,0.01
16,14,100.62271766662607,0.01
11,14,52.37015483856201,0.01
2,15,106.9244232177737,0.01
9,15,101.93601207733161,0.01
8,15,166.6712577438355,0.01
12,15,118.99011268615725,0.01
16,15,54.003032569885264,0.01
3,14,76.86557132720957,0.01
19,13,38.861714553833025,0.01
7,14,138.54138488769524,0.01
2,16,39.134058799743634,0.01
5,14,46.877449035644595,0.01
10,14,150.36361858367906,0.01
11,15,109.9585691070557,0.01
0,12,129.64328388214125,0.01
6,15,115.0926327514648,0.01
15,15,46.4454775428772,0.01
18,17,134.09869268417373,0.01
8,16,16.49846538543701,0.01
17,15,120.45381984710698,0.01
12,16,53.40368076324466,0.01
18,18,61.59281398773193,0.01
19,14,94.86811080932625,0.01
3,15,48.77193279266358,0.01
13,14,94.1418521499634,0.01
9,16,104.3586703872682,0.01
2,17,99.47694694519055,0.01
1,16,68.13768886566163,0.01
14,14,72.51716518402111,0.01
4,16,26.383407211303656,0.01
